"parliamentarian_id","interest_categories_id","title"
1142,17,"Radio und Fernsehgesellschaft Aargau/Solothurn (RSA)"
1142,25,"Bus CH - Verband Schweizerischer Busunternehmer, Bern"
1147,8,"Kantonale Behindertenkonferenz Bern"
1147,10,"Frauenriege Turnverein Bolligen"
1147,10,"Schweizer Frauenfussballrat"
1147,10,"Vereinigung Bernischer Sportverbände (Bernsport)"
1147,11,"Anwaltskanzlei Kiener & Nellen, Bern und Bolligen"
1147,13,"FriedensFrauen Weltweit"
1147,14,"Berner Bildungszentrum Pflege, Bern"
1147,20,"Schweizerische Greina-Stiftung (SGS) zur Erhaltung der alpinen Fliessgewässer, Zürich"
1147,20,"Regionaler Naturpark Diemtigtal (BE)"
1147,22,"Komitee für eine Schweiz ohne Masern, Bern"
1147,22,"Fondskommission Kinderkliniken Bern"
1147,22,"Inselspital-Stiftung"
1147,22,"Spital Netz Bern AG"
1147,22,"Spital-Management Bern AG"
1147,22,"Tilia Stiftung für Langzeitpflege, Köniz"
1147,22,"Universitätsspital Insel Bern"
1147,22,"Zentrum Schönberg AG, Bern"
1147,23,"Sozialpolitische Kommission syndicom"
1153,2,"Economiesuisse"
1153,2,"Finanz- und Wirtschaftskommission der Economiesuisse"
1153,2,"Swiss it leadership forum"
1153,2,"Vereinigung der Privaten Aktiengesellschaften, Basel"
1153,2,"YES, Young Enterprise Switzerland"
1153,4,"Allianz Pro Limmattalbahn, Zürich"
