"parliamentarian_id","bill_id","political_action_categories_id"
4046,"13.3467",12
4046,"13.4120",16
4046,"14.3057",8
4046,"14.3397",13
4046,"14.4166",2
4046,"15.3253",4
4046,"15.3253",9
4048,"12.3126",8
4048,"12.3126",12
4048,"12.3418",10
4048,"12.4196",7
4048,"13.3114",19
4048,"13.3698",20
4048,"13.3870",16
4048,"13.4036",16
4049,"12.3511",5
4049,"12.3708",16
4049,"12.3760",6
4049,"13.3020",5
4049,"13.3070",5
4049,"13.4030",2
4049,"13.4030",9
4049,"15.3036",3
4049,"15.3157",4
4049,"15.3157",5
4050,"13.3021",6
4050,"13.3498",6
4050,"14.3047",6
4050,"14.3048",6
4050,"14.3837",7
4050,"14.4128",6
4050,"14.4128",21
4051,"12.4121",9
4051,"12.4123",10
4051,"12.4123",11
4051,"12.4123",13
4051,"13.3396",4
4051,"13.3396",18
4051,"13.3542",20
4051,"13.3543",4
4051,"13.3543",10
4051,"14.3996",4
4051,"15.3117",4
4051,"15.3118",4
4051,"15.3119",4
4051,"15.3119",13
4051,"15.3120",4
4051,"15.3121",4
4051,"15.3121",20
4051,"15.3122",4
4051,"15.3123",4
4051,"15.3124",4
4051,"15.3124",20
4051,"15.3241",7
4052,"12.3028",1
4052,"13.3196",16
4053,"12.3098",20
4053,"12.3099",8
4053,"12.3099",9
4053,"12.3117",16
4053,"12.3118",5
4053,"12.3806",4
4053,"13.3016",2
4053,"13.3016",13
4053,"13.3017",9
4053,"13.3095",9
4053,"13.3096",9
4053,"13.3151",8
4053,"13.3493",17
4053,"13.3493",17
4053,"13.3672",3
4053,"13.3708",4
4053,"14.3263",4
4053,"14.3263",14
4053,"14.3489",9
4053,"14.3489",13
4053,"14.3489",19
4053,"14.4016",9
4054,"12.3731",20
4054,"12.4065",13
4054,"12.4066",9
4054,"12.4066",13
4054,"13.3109",20
4054,"13.3582",14
4054,"14.4071",9
4054,"14.4071",21
4054,"14.4113",16
4056,"12.3585",8
4056,"12.3585",9
4056,"15.3282",1
